msisdn,home_city_name,home_region_name
212775973265,Larache,Tanger-Tétouan-Al Hoceïma
212629366593,Oued Amlil,Fès-Meknès
212626862604,Ida Ougnidif,Souss-Massa
212637825127,Oujda,l'Oriental
212695510378,M'haya,Fès-Meknès
212628962230,Settat,Casablanca-Settat
212649752170,Smimou,Marrakech-Safi
212799494774,Jebha,Tanger-Tétouan-Al Hoceïma
212734342093,Toulal,Fès-Meknès
212793879265,Gardmit,Drâa-Tafilalet
212738763916,Chefchaouen,Tanger-Tétouan-Al Hoceïma
212648745104,Touissit,l'Oriental
212714903674,Béni Mellal,Béni Mellal-Khénifra
212733601377,Bir Jdid,Casablanca-Settat
212657442013,Aït Boubidmane,Fès-Meknès
212626100643,Aïn Jemaa,Fès-Meknès
212614699513,Aknoul,Fès-Meknès
212647560652,Bni Drar,l'Oriental
212668053716,Tit Mellil,Casablanca-Settat
212633616776,Imzouren,Tanger-Tétouan-Al Hoceïma
212730949706,Khouribga,Béni Mellal-Khénifra
212664942980,Agourai,Fès-Meknès
212788320607,Bouizakarne,Guelmim-Oued Noun
212725087880,Aïn Leuh,Fès-Meknès
212760385398,Jaâdar,l'Oriental
212716351488,Sidi Allal Tazi,Rabat-Salé-Kénitra
212795754228,Ida Ougnidif,Souss-Massa
212757250130,Gardmit,Drâa-Tafilalet
212730501766,Sidi Smaïl,Casablanca-Settat
212612390908,Zaïda,Drâa-Tafilalet
212736196814,Guelmim,Guelmim-Oued Noun
212631722728,Fquih Ben Salah,Béni Mellal-Khénifra
212776027773,Selouane,l'Oriental
212736316407,Taghzout,Tanger-Tétouan-Al Hoceïma
212729128530,Oulad Ghadbane,Casablanca-Settat
212737841371,Jerada,l'Oriental
212728411826,Ain Taoujdate,Fès-Meknès
212631421735,Laaounate,Casablanca-Settat
212713940896,Mehdia,Rabat-Salé-Kénitra
212780043532,Aïn Jemaa,Fès-Meknès
212749889514,Tanalt,Souss-Massa
212720523314,Loudaya,Marrakech-Safi
212721249605,Assilah,Tanger-Tétouan-Al Hoceïma
212666653905,Moulay Idriss Zerhoun,Fès-Meknès
212615273662,Tafajight,Fès-Meknès
212654412469,Farkhana,l'Oriental
212739673691,Rissani,Drâa-Tafilalet
212687930083,N'Zalat Bni Amar,Fès-Meknès
212633005403,Oued Ifrane,Fès-Meknès
212743987641,Benslimane,Casablanca-Settat
212759597461,Dcheira El Jihadia,Souss-Massa
212788227773,Bouskoura,Casablanca-Settat
212642213285,MyAliCherif,Drâa-Tafilalet
212785293359,Zag,Guelmim-Oued Noun
212757678871,El Marsa,Laâyoune-Sakia El Hamra
212751421034,Ghmate,Marrakech-Safi
212682525922,Boudnib,Drâa-Tafilalet
212775241777,Sidi Ifni,Guelmim-Oued Noun
212780840638,Ben Guerir,Marrakech-Safi
212710885190,El Kelaâ des Sraghna,Marrakech-Safi
212626206653,Tamanar,Marrakech-Safi
212788722735,Sidi Smaïl,Casablanca-Settat
212762063870,Issaguen (Ketama),Tanger-Tétouan-Al Hoceïma
212673792335,Aït Ourir,Marrakech-Safi
212715372709,Point Cires,Tanger-Tétouan-Al Hoceïma
212625131240,Azrou,Fès-Meknès
212710303220,Laaounate,Casablanca-Settat
212694058167,Farkhana,l'Oriental
212745858217,Laaounate,Casablanca-Settat
212768487134,Tamassint,Tanger-Tétouan-Al Hoceïma
212651145701,Tiflet,Rabat-Salé-Kénitra
212784669702,Massa (Maroc),Souss-Massa
212616614506,Guelmim,Guelmim-Oued Noun
212639461782,Fraïta,Marrakech-Safi
212651926887,Awsard,Dakhla-Oued Ed Dahab
212646283990,Sidi Lyamani,Tanger-Tétouan-Al Hoceïma
212760902071,Selouane,l'Oriental
212647453866,Sidi Rahhal,Marrakech-Safi
212768606659,Moulay Ali Cherif,Drâa-Tafilalet
212718027649,Es-Semara,Laâyoune-Sakia El Hamra
212686395803,Oulmès,Rabat-Salé-Kénitra
212746914116,Ksar El Kébir,Tanger-Tétouan-Al Hoceïma
212611696085,Moulay Yaâcoub,Fès-Meknès
212685135700,El Marsa,Laâyoune-Sakia El Hamra
212629347033,Moulay Abdallah,Casablanca-Settat
212692186504,Ouazzane,Tanger-Tétouan-Al Hoceïma
212695832009,Oulad Yaich,Béni Mellal-Khénifra
212736033877,El Borouj,Casablanca-Settat
212633670008,Berrechid,Casablanca-Settat
212644044029,Taroudannt,Souss-Massa
212641980233,Séfrou,Fès-Meknès
212678868607,Ighoud,Marrakech-Safi
212733006040,Assa,Guelmim-Oued Noun
212799439380,Afourar,Béni Mellal-Khénifra
212719299348,Al Hoceïma,Tanger-Tétouan-Al Hoceïma
212797732311,Aït Attab,Béni Mellal-Khénifra
212710504974,Aït Ishaq,Béni Mellal-Khénifra
212796854558,El Marsa,Laâyoune-Sakia El Hamra
212682389751,Oued Laou,Tanger-Tétouan-Al Hoceïma
212760359438,Mechra Bel Ksiri,Rabat-Salé-Kénitra
212786387549,Salé,Rabat-Salé-Kénitra
212650603054,Talsint,l'Oriental
212754527984,Aoulouz,Souss-Massa
212746532935,Foum Zguid,Souss-Massa
212642969403,Bhalil,Fès-Meknès
212696204948,Targuist,Tanger-Tétouan-Al Hoceïma
212647611322,M'rirt,Béni Mellal-Khénifra
212749412387,Ouaoumana,Béni Mellal-Khénifra
212675572911,Hattane,Béni Mellal-Khénifra
212732888161,Ighoud,Marrakech-Safi
212721830932,Tétouan,Tanger-Tétouan-Al Hoceïma
212648224825,Massa (Maroc),Souss-Massa
212736239850,Ben Yakhlef,Casablanca-Settat
212718024991,Touima,l'Oriental
212690447676,Ras El Aïn,Casablanca-Settat
212767725546,Imassine,Drâa-Tafilalet
212614383518,Tendrara,l'Oriental
212715610588,Temsia,Souss-Massa
212798738480,Tamallalt,Marrakech-Safi
212626051718,Hattane,Béni Mellal-Khénifra
212750993367,Kehf Nsour,Béni Mellal-Khénifra
212783777094,Moulay Abdallah,Casablanca-Settat
212699285444,Laaounate,Casablanca-Settat
212671703299,El Kelaâ des Sraghna,Marrakech-Safi
212729895916,Sidi Smaïl,Casablanca-Settat
212690562870,Smimou,Marrakech-Safi
212628075774,Bouguedra,Marrakech-Safi
212653437496,Bouizakarne,Guelmim-Oued Noun
212692545324,Skhour Rehamna,Marrakech-Safi
212693756796,Tissa,Fès-Meknès
212717440906,Souk El Arbaa,Rabat-Salé-Kénitra
212749895234,Aknoul,Fès-Meknès
212611100218,Sarghine,Drâa-Tafilalet
212753662700,Taghzout,Tanger-Tétouan-Al Hoceïma
212730911341,Tanger,Tanger-Tétouan-Al Hoceïma
212778327128,Guigou,Fès-Meknès
212712270204,Oulad Zbair,Fès-Meknès
212659702616,Aourir,Souss-Massa
212632669252,Taourirt ait zaghar,Drâa-Tafilalet
212756753274,Tamansourt,Marrakech-Safi
212661630307,Fnideq,Tanger-Tétouan-Al Hoceïma
212685977802,Skhour Rehamna,Marrakech-Safi
212614826962,Oulmès,Rabat-Salé-Kénitra
212795504317,Ighoud,Marrakech-Safi
212664271203,Tinejdad,Drâa-Tafilalet
212782920594,Arfoud,Drâa-Tafilalet
212676756839,Gardmit,Drâa-Tafilalet
212657780789,Jamâat Shaim,Marrakech-Safi
212660123219,El Gara,Casablanca-Settat
212676467789,Tichoute,Drâa-Tafilalet
212628350299,Tamallalt,Marrakech-Safi
212751815059,Errachidia,Drâa-Tafilalet
212716576874,Oujda,l'Oriental
212767772969,Khémis Sahel,Tanger-Tétouan-Al Hoceïma
212667212894,El Borouj,Casablanca-Settat
212633129446,Oulad H'Riz Sahel,Casablanca-Settat
212688665605,Sebt Jahjouh,Fès-Meknès
212694823708,Akka,Souss-Massa
212625965117,Errachidia,Drâa-Tafilalet
212767043481,Sidi Ifni,Guelmim-Oued Noun
212667264326,Sarghine,Drâa-Tafilalet
212752115793,Tétouan,Tanger-Tétouan-Al Hoceïma
212647026500,El Hanchane,Marrakech-Safi
212679389150,Midar,l'Oriental
212682706229,Tamansourt,Marrakech-Safi
212662422084,Khémisset,Rabat-Salé-Kénitra
212751238307,Bradia,Béni Mellal-Khénifra
212629153632,Ahfir,l'Oriental
212686651315,Bab Berred,Tanger-Tétouan-Al Hoceïma
212724803669,El Ouatia,Guelmim-Oued Noun
212745677564,Demnate,Béni Mellal-Khénifra
212689199584,Skhour Rehamna,Marrakech-Safi
212635281576,Jebha,Tanger-Tétouan-Al Hoceïma
212623236082,Jamâat Shaim,Marrakech-Safi
212655307231,Aïn Karma,Fès-Meknès
212756023858,Timahdite,Fès-Meknès
212658894472,Kattara,Marrakech-Safi
212618719102,Awsard,Dakhla-Oued Ed Dahab
212743832942,Tounfite,Drâa-Tafilalet
212662419539,Tahla,Fès-Meknès
212782126440,Arazane,Souss-Massa
212779181017,Dar Oulad Zidouh,Béni Mellal-Khénifra
212681628971,Jorf,Drâa-Tafilalet
212739575778,Sidi Bouzid,Casablanca-Settat
212676344410,M'haya,Fès-Meknès
212678934248,Had Kourt,Rabat-Salé-Kénitra
212797250801,Drargua,Souss-Massa
212712004809,Sidi Addi,Fès-Meknès
212713065778,Zaouia d'Ifrane,Fès-Meknès
212773405453,Temsia,Souss-Massa
212629962056,Sidi Rahhal Chataï,Casablanca-Settat
212667650721,Khémisset,Rabat-Salé-Kénitra
212761779961,Boumia,Drâa-Tafilalet
212779784288,Khouribga,Béni Mellal-Khénifra
212691842401,Touissit,l'Oriental
212788086614,Témara,Rabat-Salé-Kénitra
212684207553,Kerouna,l'Oriental
212681932504,Sidi Ifni,Guelmim-Oued Noun
212754360720,Aklim,l'Oriental
212653589627,Tanger,Tanger-Tétouan-Al Hoceïma
212721409429,Ouaoumana,Béni Mellal-Khénifra
212789107750,Hrara,Marrakech-Safi
212670657494,Bin elouidane,Béni Mellal-Khénifra
212615426359,Soualem,Casablanca-Settat
212670621834,Dar Chaoui,Tanger-Tétouan-Al Hoceïma
212646888075,Aït Melloul,Souss-Massa
212665695197,Tagzen,Souss-Massa
212732807614,Azemmour,Casablanca-Settat
212781041838,Awsard,Dakhla-Oued Ed Dahab
212761483595,Kerouna,l'Oriental
212745398580,Laaounate,Casablanca-Settat
212654764785,Oulad Ayad,Béni Mellal-Khénifra
212651379831,Sidi Ali Ban Hamdouche,Casablanca-Settat
212778674333,Guisser,Casablanca-Settat
212680061256,Tafraout,Souss-Massa
212621247861,Guigou,Fès-Meknès
212645830638,Oulad Saïd,Casablanca-Settat
212771591456,Rommani,Rabat-Salé-Kénitra
212623925966,Sidi Ali Ban Hamdouche,Casablanca-Settat
212735576225,Assa,Guelmim-Oued Noun
212713245105,Foum Zguid,Souss-Massa
212635439262,Ras El Aïn,Casablanca-Settat
212788997331,Ihddaden,l'Oriental
212723755095,Casablanca,Casablanca-Settat
212682620684,Jamâat Shaim,Marrakech-Safi
212678475899,Lâattaouia,Marrakech-Safi
212645266203,Deroua,Casablanca-Settat
212644799561,Assilah,Tanger-Tétouan-Al Hoceïma
212771589637,Aïn Leuh,Fès-Meknès
212737589688,Itzer,Drâa-Tafilalet
212640248571,Sidi Slimane Echcharaa,l'Oriental
212657265769,Sidi Ifni,Guelmim-Oued Noun
212748534665,Benslimane,Casablanca-Settat
212791140245,Tan-Tan,Guelmim-Oued Noun
212720459290,Sebt El Maârif,Casablanca-Settat
212754868504,M'rirt,Béni Mellal-Khénifra
212668229293,Ouaouizeght,Béni Mellal-Khénifra
212616982442,Sidi Smaïl,Casablanca-Settat
212789754780,Taïnaste,Fès-Meknès
212636854959,Sidi Addi,Fès-Meknès
212749577096,Taourirt ait zaghar,Drâa-Tafilalet
212640512233,Megousse,Souss-Massa
212618771915,Fnideq,Tanger-Tétouan-Al Hoceïma
212696098936,Aït Iaâza,Souss-Massa
212645534568,Sidi Slimane,Rabat-Salé-Kénitra
212663959936,Ghafsai,Fès-Meknès
212655257479,Bni Drar,l'Oriental
212781376225,El Hajeb,Fès-Meknès
212631658782,Bouizakarne,Guelmim-Oued Noun
212694865615,Dar Chaoui,Tanger-Tétouan-Al Hoceïma
212666912553,Moulay Idriss Zerhoun,Fès-Meknès
212694412820,Jebha,Tanger-Tétouan-Al Hoceïma
212746677733,Ras El Ma,l'Oriental
212682508952,Guercif,l'Oriental
212747360981,Lqliâa,Souss-Massa
212646462802,Lakhsass,Souss-Massa
212726903151,Smimou,Marrakech-Safi
212794762733,Tendrara,l'Oriental
212652816810,Boujdour,Laâyoune-Sakia El Hamra
212734561955,Harte Lyamine,Drâa-Tafilalet
212757279180,Sidi Allal Tazi,Rabat-Salé-Kénitra
212748832186,Lâattaouia,Marrakech-Safi
212686436536,Ain Taoujdate,Fès-Meknès
212626135676,El Gara,Casablanca-Settat
212689855948,Taounate,Fès-Meknès
212750759388,Itzer,Drâa-Tafilalet
212665366864,Ihddaden,l'Oriental
212726897350,Foum Zguid,Souss-Massa
212725238640,Tata,Souss-Massa
212688386682,Demnate,Béni Mellal-Khénifra
212770853286,Dar El Kebdani,l'Oriental
212684719361,Essaouira,Marrakech-Safi
212758125381,Agdz,Drâa-Tafilalet
212688286217,Aïn Erreggada,l'Oriental
212762436836,Temsia,Souss-Massa
212752677324,Marrakech,Marrakech-Safi
212778773846,Moqrisset,Tanger-Tétouan-Al Hoceïma
212793618658,Sabaa Aiyoun,Fès-Meknès
212675149338,Imouzzer Marmoucha,Fès-Meknès
212745911222,Midelt,Drâa-Tafilalet
212716767718,Khenichet,Rabat-Salé-Kénitra
212688712059,Ouaouizeght,Béni Mellal-Khénifra
212772306425,Khemis Zemamra,Casablanca-Settat
212685037158,Zaouia d'Ifrane,Fès-Meknès
212769068020,El Ouatia,Guelmim-Oued Noun
212746229507,Tit Mellil,Casablanca-Settat
212642887934,Touarga,Rabat-Salé-Kénitra
212790779033,Ben Yakhlef,Casablanca-Settat
212611327874,Zag,Guelmim-Oued Noun
212791617291,Es-Semara,Laâyoune-Sakia El Hamra
212639101092,Oued Heimer,l'Oriental
212791227591,Benslimane,Casablanca-Settat
212731531339,Marrakech,Marrakech-Safi
212646771089,Loudaya,Marrakech-Safi
212722270692,Oulad Abbou,Casablanca-Settat
212797756135,Goulmima,Drâa-Tafilalet
212657254162,Ben Taïeb,l'Oriental
212767229730,Oulad M'Barek,Béni Mellal-Khénifra
212746313042,Agourai,Fès-Meknès
212631402602,Boujdour,Laâyoune-Sakia El Hamra
212717884082,Ouarzazate,Drâa-Tafilalet
212635032101,Aïn Jemaa,Fès-Meknès
212793962341,Souk El Arbaa,Rabat-Salé-Kénitra
212663172421,Rommani,Rabat-Salé-Kénitra
212755108470,Beni Ayat,Béni Mellal-Khénifra
212650509162,Karia,Fès-Meknès
212620122661,Sidi Smaïl,Casablanca-Settat
212788423274,Tahannaout,Marrakech-Safi
212668539319,Oulad Berhil,Souss-Massa
212713540600,Tafraout,Souss-Massa
212716069062,Ben Ahmed,Casablanca-Settat
212632324132,Rabat,Rabat-Salé-Kénitra
212621936400,Bhalil,Fès-Meknès
212726641460,Sidi Slimane Echcharaa,l'Oriental
212681148601,Sidi Bouzid,Casablanca-Settat
212627138007,Touima,l'Oriental
212646297700,El Kelaâ des Sraghna,Marrakech-Safi
212637619520,Chefchaouen,Tanger-Tétouan-Al Hoceïma
212623240652,Laaounate,Casablanca-Settat
212757233825,Tafetachte,Marrakech-Safi
212632116502,Tafetachte,Marrakech-Safi
212653776827,M'semrir,Drâa-Tafilalet
212734090551,Moulay Abdallah,Casablanca-Settat
212799466291,El Jadida,Casablanca-Settat
212724839611,Moulay Bouazza,Béni Mellal-Khénifra
212712786003,Er-Rich,Béni Mellal-Khénifra
212690164663,Jorf,Drâa-Tafilalet
212779089558,Tamesna,Rabat-Salé-Kénitra
212749674922,El Hajeb,Fès-Meknès
212714842896,Kariat Arekmane,l'Oriental
212646137441,Kariat Arekmane,l'Oriental
212695550037,Boumalne-Dadès,Drâa-Tafilalet
212782768285,Boudnib,Drâa-Tafilalet
212710939926,Bouguedra,Marrakech-Safi
212669787088,Bouizakarne,Guelmim-Oued Noun
212721889464,Tamraght,Souss-Massa
212684591204,Tafajight,Fès-Meknès
212726467935,Midelt,Drâa-Tafilalet
212773115015,Boujdour,Laâyoune-Sakia El Hamra
212624908756,Médiouna,Casablanca-Settat
212646952551,Ain Taoujdate,Fès-Meknès
212657260480,Ain El Aouda,Rabat-Salé-Kénitra
212617075876,Oulad Sidi Ben Daoud,Casablanca-Settat
212737580684,Hattane,Béni Mellal-Khénifra
212690896484,Aït Boubidmane,Fès-Meknès
212751152843,Touissit,l'Oriental
212638779286,Ouazzane,Tanger-Tétouan-Al Hoceïma
212778820042,Itzer,Drâa-Tafilalet
212664097451,Khemis Zemamra,Casablanca-Settat
212758875659,Ben Ahmed,Casablanca-Settat
212773969547,Tounfite,Drâa-Tafilalet
212666775597,Aït Melloul,Souss-Massa
212768722655,Haj Kaddour,Fès-Meknès
212733774326,Oued Ifrane,Fès-Meknès
212668742908,Tounfite,Drâa-Tafilalet
212698740544,Rissani,Drâa-Tafilalet
212752283057,Témara,Rabat-Salé-Kénitra
212790739529,Zagora,Drâa-Tafilalet
212677909579,Sebt Jahjouh,Fès-Meknès
212657032465,MyAliCherif,Drâa-Tafilalet
212790062056,Taghzout,Tanger-Tétouan-Al Hoceïma
212638296954,Dra'a,Drâa-Tafilalet
212766706662,Tisgdal,Souss-Massa
212718803666,Sidi Ali Ban Hamdouche,Casablanca-Settat
212780538735,Ahfir,l'Oriental
212629238422,Ben Guerir,Marrakech-Safi
212758606363,Soualem,Casablanca-Settat
212653087255,Bouizakarne,Guelmim-Oued Noun
212742883041,Aït Hichem,Tanger-Tétouan-Al Hoceïma
212734964241,Médiouna,Casablanca-Settat
212624343490,Tighassaline,Béni Mellal-Khénifra
212611034613,Bouarfa,l'Oriental
212719164346,Boumia,Drâa-Tafilalet
212619664722,Sebt Jahjouh,Fès-Meknès
212758253443,Dar El Kebdani,l'Oriental
212795830407,Smimou,Marrakech-Safi
212689187627,Bzou,Béni Mellal-Khénifra
212653870753,Lâattaouia,Marrakech-Safi
212665391884,Imassine,Drâa-Tafilalet
212612281217,Al Aroui,l'Oriental
212733102818,Chichaoua,Marrakech-Safi
212715681996,Lalla Takerkoust,Marrakech-Safi
212793237805,Figuig,l'Oriental
212799848466,Oulad Frej,Casablanca-Settat
212642533152,Awsard,Dakhla-Oued Ed Dahab
212656350650,Boumia,Drâa-Tafilalet
212676042093,Ihddaden,l'Oriental
212748294315,Bab Berred,Tanger-Tétouan-Al Hoceïma
212798617848,El Hajeb,Fès-Meknès
212623636907,Ouaouizeght,Béni Mellal-Khénifra
212647705726,Jebha,Tanger-Tétouan-Al Hoceïma
212750371782,Bouizakarne,Guelmim-Oued Noun
212627702502,Ghmate,Marrakech-Safi
212640530882,Jorf Lasfar,Casablanca-Settat
212652916290,Aït Ourir,Marrakech-Safi
212633613190,Meknès,Fès-Meknès
212726895216,Mzouda,Marrakech-Safi
212662975798,Deroua,Casablanca-Settat
212642457691,Tameslouht,Marrakech-Safi
212667666535,Aït Ourir,Marrakech-Safi
212698187609,Midelt,Drâa-Tafilalet
212712530125,Laayoune,Laâyoune-Sakia El Hamra
212689974915,Kerouna,l'Oriental
212650100687,Ben Yakhlef,Casablanca-Settat
212615301611,Lakhsass,Souss-Massa
212657716349,Aïn Dorij,Tanger-Tétouan-Al Hoceïma
212719939611,Targuist,Tanger-Tétouan-Al Hoceïma
212793271207,Aoufous,Drâa-Tafilalet
212773674817,Larache,Tanger-Tétouan-Al Hoceïma
212795559774,Oulad Amrane,Casablanca-Settat
212718839650,Tisgdal,Souss-Massa
212770786083,Debdou,l'Oriental
212723196709,Guisser,Casablanca-Settat
212695504215,Naima,l'Oriental
212761660687,Thar Es-Souk,Fès-Meknès
212748618413,Tinejdad,Drâa-Tafilalet
212729719878,Zagora,Drâa-Tafilalet
212613747427,Afourar,Béni Mellal-Khénifra
212713609999,Fès,Fès-Meknès
212647890267,Oulad Ghadbane,Casablanca-Settat
212785321156,Tala Tazegwaght,Tanger-Tétouan-Al Hoceïma
212676744737,Boulemane,Fès-Meknès
212692344499,Rissani,Drâa-Tafilalet
212661802955,Sidi Abdallah Ghiat,Marrakech-Safi
212743512675,Bab Berred,Tanger-Tétouan-Al Hoceïma
212620105205,Arbaoua,Rabat-Salé-Kénitra
212657175831,Souk Sebt Oulad Nemma,Béni Mellal-Khénifra
212644389095,Loulad,Casablanca-Settat
212757550527,Chefchaouen,Tanger-Tétouan-Al Hoceïma
212745521747,Sid L'Mokhtar,Marrakech-Safi
212784268933,Sabaa Aiyoun,Fès-Meknès
212675551369,Sidi Ali Ban Hamdouche,Casablanca-Settat
212760944727,Bab Taza,Tanger-Tétouan-Al Hoceïma
212652071700,Sid L'Mokhtar,Marrakech-Safi
212625667058,Nador,l'Oriental
212669277198,Moqrisset,Tanger-Tétouan-Al Hoceïma
212630316356,Fam El Hisn,Souss-Massa
212651422413,Tighassaline,Béni Mellal-Khénifra
212724249625,Ighoud,Marrakech-Safi
212686405167,Guelmim,Guelmim-Oued Noun
212727126557,Figuig,l'Oriental
212648717253,Tizguite,Fès-Meknès
212713604089,El Kelaâ des Sraghna,Marrakech-Safi
212788071658,Moulay Bouazza,Béni Mellal-Khénifra
212761439566,Es-Semara,Laâyoune-Sakia El Hamra
212735674385,Aklim,l'Oriental
212756176576,Oued Heimer,l'Oriental
212741213110,Dar Oulad Zidouh,Béni Mellal-Khénifra
212729998819,Ben Yakhlef,Casablanca-Settat
212720427292,Zag,Guelmim-Oued Noun
212697460425,Aït Ourir,Marrakech-Safi
212751550468,Imintanoute,Marrakech-Safi
212743320871,Mechra Bel Ksiri,Rabat-Salé-Kénitra
